지점명,지점주소,경도,위도,횟수
렌터카_청주,충북 청주시 상당구 중흥로 42,127.502813,36.60982912,1040
PL하남AS,경기 하남시 감초로184번길 30,127.1653992,37.52817567,1025
토요타 서초AS,서울 서초구 효령로 14,126.9870001,37.47700436,914
HS울산 AS,울산 남구 꽃대나리로 97,129.3407153,35.5335522,895
H인천AS,인천 중구 축항대로296번길 138,126.6253119,37.43660843,892
H강남삼성AS,서울 강남구 삼성로71길 6,127.0583154,37.50244244,876
HS분당백현AS,경기 성남시 분당구 대왕판교로385번길 13,127.1009871,37.37747533,870
BV 고양AS,경기 고양시 덕양구 권율대로 420,126.8631238,37.62958898,859
KA송파대로 AS,서울 송파구 충민로2길 8,127.1266378,37.47900467,841
부산,부산 해운대구 좌동순환로 395,129.1773373,35.16218543,817
EN서대구 AS,대구 서구 와룡로 314,128.5378779,35.86058036,794
VANTAGE,서울 중구 퇴계로 100,126.9829265,37.56020699,785
토요타 사상AS,부산 사상구 학감대로 88,128.9910253,35.14019799,776
렉서스 부천AS,경기 부천시 도약로 271,126.7797953,37.51077409,763
TA일산 AS,경기 고양시 일산서구 송파로 131,126.7134743,37.69516479,737
AJ일산AS,경기 고양시 일산동구 은행마을로 46-43,126.8072842,37.66703104,726
딜리버리,서울 동대문구 천호대로 329,127.0566181,37.56440627,720
렌터카_부산,부산 부산진구 동천로 4,129.0639756,35.14943623,719
BAY 김포공항AS,서울 강서구 하늘길 지하 77,126.8012784,37.56231321,712
렉서스 광산AS,광주 광산구 북문대로 480,126.8447504,35.19807025,712
IVY광주AS,광주 서구 상무대로 1096,126.8819736,35.15239625,701
SMITH서울,서울 서초구 서초대로38길 12,127.0053816,37.49049503,700
TA인천 AS,인천 남동구 논현고잔로128번길 66,126.7147265,37.39199591,691
렉서스 판교AS,경기 성남시 분당구 대왕판교로 378,127.1023466,37.37749389,672
BAY 본사,서울 성동구 동일로 111,127.0637671,37.54263686,669
렉서스 창원AS,경남 창원시 마산회원구 봉양로 156,128.6032694,35.21771805,650
BV 시흥 AS,서울 금천구 시흥대로 201,126.9007948,37.45190478,626
TY대구AS,대구 동구 안심로55길 15,128.7153913,35.86751918,620
HS방배AS,서울 서초구 남부순환로294길 22,126.990635,37.47322055,606
MBMK,서울 중구 퇴계로 100,126.9829265,37.56020699,597
렉서스 남대구AS,대구 달서구 성서4차첨단로 214,128.5197558,35.82997199,583
IR창원AS,경남 창원시 마산회원구 봉양로 122,128.5997389,35.2188731,582
IR해운대AS,부산 해운대구 해운대로 269,129.130596,35.17633634,568
토요타 남대구AS,대구 달서구 성서4차첨단로 214,128.5197558,35.82997199,568
CH동대문AS,서울 동대문구 천호대로 373,127.0605081,37.5624444,548
VAG 천안 AS,충남 천안시 서북구 두정공단1길 100,127.1585554,36.83789487,547
KLAM천안AS,충남 천안시 서북구 동서대로 15,127.1251258,36.82454709,526
HS성동AS,서울 성동구 동일로 117,127.0641451,37.54310346,518
CHL천안 AS,충남 천안시 서북구 번영로 555,127.1231248,36.84926113,486
KLAM판교AS,경기 성남시 분당구 대왕판교로 200,127.1024535,37.36176892,484
BAY 서수원 AAP,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,463
H율현AS,서울 강남구 헌릉로757길 61,127.1183271,37.47181521,455
HS성남 서비스팩토리AS,경기 성남시 수정구 여수대로 36,127.106081,37.42204618,449
DA제주 AS,제주특별자치도 제주시 연삼로 993,126.5904623,33.51623717,439
DT MINI 출고팀,서울 성동구 동일로 111,127.0637691,37.54263514,428
